OBJECTID,ProjectID,NumCluster,FMU,District,Area_ha,MNRF_AS_YR,YRDEP,DepletionFU,YRORG,SILVSYS,SGR,TargetFU,TargetSpc,TargetSO,SFL_Name,SFL_AsMethod,SFL_AS_YR,SFL_SPCOMP,SFL_SO,SFL_FU,SFL_EffDens,Comment,IS_TEST,SHAPE_Length,SHAPE_Area,Contact,lat,lon,ORG_ProjectID
2,HEA-AREA236-58,94,Hearst,Hearst,125.8890152,2022,2000,,2000,CC,LC1-Ext-LC1,SB1,SB,0.6000000,HFMI,Aerial,2019,CW  50LA  30SB  20,0.6000000,LC1,,,N,19502.365734655413689,1258890.147990458877757,Josh Breau,50.0038223,-84.6723328,AREA236-58
3,HEA-MULL-65,76,Hearst,Hearst,91.9051514,2022,2000,SB1,2000,CC,SB1-Ext-SB1,SB1,SB,0.6000000,HFMI,Aerial,2019,CW  50SB  30LA  20,0.7000000,LC1,,,N,7903.501533045649921,919051.477597533375956,Josh Breau,49.9722977,-84.7076569,MULL-65
4,HEA-MER-78,30,Hearst,Hearst,17.2585411,2022,2002,SB1,2002,CC,SB1-Ext-SB1,SB1,SB,0.6000000,HFMI,Aerial,2019,LA  30PT  30BF  20BW  10CW  10,0.7000000,MW1,,,N,2442.776229765804146,172585.416363585012732,Josh Breau,49.6009102,-85.0034637,MER-78
5,HEA-MER-91,88,Hearst,Hearst,115.6759567,2022,2002,SB1,2002,CC,SB1-Ext-SB1,SB1,SB,0.6000000,HFMI,Aerial,2019,LA  40SB  40CW  20,0.5000000,LC1,,,N,6457.777029088897507,1156759.602728773141280,Josh Breau,49.6534882,-84.9428635,MER-91
6,HEA-BURR-92,65,Hearst,Hearst,69.0646286,2022,2003,SB1,2003,CC,SB1-Ext-SB1,SB1,SB,0.6000000,HFMI,Aerial,2019,LA  40SB  40CW  20,0.7000000,LC1,,,N,6549.958027344963739,690646.322777520632371,Josh Breau,50.0321770,-84.9720688,BURR-92
7,HEA-SHUEL-133,42,Hearst,Hearst,41.2851868,2022,2002,MW2C,2002,CC,MW2H-Ext-MW2H,PO1,"Pt, Sb, Sw",0.6000000,HFMI,Aerial,2019,PT  50BF  10PB  10SB  10BW  10LA  10,0.9000000,PO1,,,N,3082.123657425702731,412851.862050482304767,Josh Breau,49.9595947,-85.0345840,SHUEL-133
8,HEA-MULL-156,94,Hearst,Hearst,126.9892349,2022,2001,SF1,2001,CC,SB1-Ext-SB1,SB1,SB,0.6000000,HFMI,Aerial,2019,SB  40CW  30LA  20BW  10,0.6000000,SF1,,,N,6172.671021085191569,1269892.338379574241117,Josh Breau,49.9664726,-84.7196121,MULL-156
9,HEA-FINT-188,62,Hearst,Hearst,63.8750763,2022,2001,LC1,2001,CC,LC1-Ext-LC1,SB1,SB,0.6000000,HFMI,Aerial,2019,SB  50CW  30LA  20,0.7000000,LC1,,,N,7486.059594357325295,638750.771518741501495,Josh Breau,49.9672012,-84.6789932,FINT-188
10,HEA-BURR-190,136,Hearst,Hearst,209.3356476,2022,2003,LC1,2003,CC,SB1-Ext-SB1,SB1,SB,0.6000000,HFMI,Aerial,2019,SB  50CW  30LA  20,0.8000000,LC1,,,N,11520.172710233548059,2093356.444524909369648,Josh Breau,50.0313034,-84.9863739,BURR-190
11,HEA-BURR-195,77,Hearst,Hearst,93.3897171,2022,2001,SF1,2001,CC,SF1-Ext-SF1,SB1,SB,0.6000000,HFMI,Aerial,2019,SB  50LA  20CW  20BW  10,0.7000000,LC1,,,N,13077.919808661967181,933897.178958810865879,Josh Breau,49.9800682,-84.9169006,BURR-195
12,HEA-BURR-209,171,Hearst,Hearst,279.7481384,2022,1998,LC1,1998,CC,LC1-Ext-LC1,SB1,SB,0.6000000,HFMI,Aerial,2019,SB  50LA  30CW  20,0.7000000,LC1,,,N,19015.995611739654123,2797481.383389233145863,Josh Breau,50.0161285,-84.9230576,BURR-209
13,HEA-BURR-218,90,Hearst,Hearst,119.2485046,2022,1998,LC1,1998,CC,LC1-Ext-LC1,SB1,SB,0.6000000,HFMI,Aerial,2019,SB  60CW  20LA  20,0.7000000,LC1,,,N,11304.006007358630086,1192485.075068659149110,Josh Breau,50.0198441,-84.9549255,BURR-218
14,HEA-SHUEL-244,61,Hearst,Hearst,61.5032692,2022,2002,SB1,2002,CC,SB1-Ext-SB1,SB1,SB,0.6000000,HFMI,Aerial,2019,SB  60LA  30CW  10,0.7000000,SF1,,,N,4555.404013042045335,615032.674344589468092,Josh Breau,49.9537010,-85.0282898,SHUEL-244
15,HEA-BURR-265,30,Hearst,Hearst,22.0428314,2022,1996,LC1,1996,CC,LC1-Ext-LC1,SB1,SB,0.6000000,HFMI,Aerial,2019,SB  80LA  20,0.8000000,SB1,,,N,4643.388784797254630,220428.323381456924835,Josh Breau,49.9738503,-84.9337540,BURR-265
16,HEA-AREA236-268,100,Hearst,Hearst,137.8027191,2022,2000,MW2H,2012,CC,MW2H-Int-SP1,SP1,"Pj, Sb, Sw",0.7000000,HFMI,Aerial,2019,SB 100,0.8000000,SP1,,PB 2011; Planted 2012,N,6996.338247588479135,1378027.163204253418371,Josh Breau,49.9788895,-84.6640854,AREA236-268
17,NOR-GARROW_1,30,Nipissing,North Bay,10.6255999,2021,2012,BW,2012,CC,BW-BW-E,BW,PO BW,0.8000000,NFRM,Ground,2019,BF  50PO  20MR  20SB  10,0.5000000,SF,,,N,3136.975794108107948,106255.994662728378898,Francisco Murphy,46.6130104,-79.3286972,GARROW_1
18,NOR-HENRY_CRERAR_2,79,Nipissing,North Bay,127.1692276,2021,2010,MW,2010,CC,MW-MW-E,MW,PW PR PJ SW SB HE CE MH MR BD BE OR CB BY,0.6000000,NFRM,Ground,2019,PO  50BW  20PW  10BF  10SB  10,0.9000000,PO,,,N,16097.356671462042868,1271692.308048353996128,Francisco Murphy,46.6128616,-80.3678284,HENRY_CRERAR_2
19,NOR-RABBIT_3,41,Nipissing,North Bay,40.4342079,2021,2009,SF,2009,CC,SF-SF-E,SF,SB SW BF CE,0.6000000,NFRM,Ground,2019,MR  50OR  20BF  10BW  10PO  10,0.9000000,MW,,,N,8479.113688573806940,404342.081947891332675,Francisco Murphy,46.6443748,-79.9181671,RABBIT_3
20,NOR-KLOCKS_4,30,Nipissing,North Bay,23.0809021,2021,2008,PWST,2008,CC,PWST-PWST-B,PWST,PW PR SW SB SR OR,0.7000000,NFRM,Ground,2019,PW  50MR  20PO  10BW  10BF  10,0.9000000,PWST,,,N,4113.762297977608796,230809.014708974777022,Francisco Murphy,46.2225723,-78.5719910,KLOCKS_4
21,NOR-HWY63_5,42,Nipissing,North Bay,41.3870049,2021,2003,MCL,2003,CC,MCL-MCL-E,MCL,SB CE LA,0.6000000,NFRM,Ground,2019,CE  40BF  20SB  20BY  10MH  10,1.0000000,SF,,,N,7256.184614227223392,413870.057846330048051,Francisco Murphy,46.5934830,-79.1522522,HWY63_5
22,NOR-HENRY_CRERAR_6,30,Nipissing,North Bay,24.6016674,2021,2004,PO,2004,SH,PO-PWUS-I1,PWUS,PW PR SW SB SR OR,0.8000000,NFRM,Ground,2019,PR  60PW  20MR  10MH  10,1.0000000,PWUS,,,N,3337.308725085230890,246016.666028678533621,Francisco Murphy,46.6362953,-80.3850479,HENRY_CRERAR_6
23,NOR-KLOCKS_7,30,Nipissing,North Bay,8.8813524,2021,2006,PWST,2006,SH,PWST-PWUS-I1,PWUS,PW PR SW SB SR OR,0.8000000,NFRM,Ground,2019,PW  50MR  10BW  10SB  10SW  10BF  10,0.8000000,PWUS,,,N,2118.510764643780931,88813.520432251738384,Francisco Murphy,46.2033424,-78.6006088,KLOCKS_7
24,NOR-DAVENTRY_8,30,Nipissing,North Bay,12.9607182,2021,2010,MW,2010,CC,MW-MW-E,MW,PW PR PJ SW SB HE CE MH MR BD BE OR CB BY,0.6000000,NFRM,Ground,2019,BE  60MH  30HE  10,1.0000000,HDUS,,,N,3755.245149362827760,129607.183972225699108,Francisco Murphy,46.1206322,-78.7168045,DAVENTRY_8
25,NOR-DAVENTRY_9,30,Nipissing,North Bay,14.3094416,2021,2010,MW,2010,CC,MW-MW-E,MW,PW PR PJ SW SB HE CE MH MR BD BE OR CB BY,0.6000000,NFRM,Ground,2019,MH  40BW  20BY  10SW  10BF  10MR  10,0.8000000,HDUS,,,N,2947.967416075211077,143094.414979085617233,Francisco Murphy,46.1276207,-78.7109070,DAVENTRY_9
26,NOR-DAVENTRY_10,30,Nipissing,North Bay,8.2133389,2021,2013,HDUS,2013,SH,HDUS-BY-ST,BY,BY MH OR CB,0.8000000,NFRM,Ground,2019,MR  30MH  30BY  20BF  10BE  10,0.8000000,HDUS,,,N,2244.416774415415603,82133.386426289536757,Francisco Murphy,46.1378555,-78.7428131,DAVENTRY_10
27,Tim-Test-01,30,Abitibi River,Timmins,2.8642721,2022,2015,PJ1,2015,CC,PJ1-Ext-PJ2,PJ2,"PJ, SB",0.8000000,FRMG,Aerial,2021,PJ  50SB  30BF  20,0.7500000,PJ1,1560,This is a test,Y,716.263549105311995,28642.720686185792147,,48.4947205,-81.3470001,Tim-Test-01
28,Tim-Test-02,30,Abitibi River,Timmins,19.1307354,2022,2015,SB1,2015,SH,SB1-Ext-PJ2,PJ2,"SB, PJ",0.8000000,FRMG,Aerial,2021,PJ  50SB  30BF  20,0.7500000,SB1,1650,This is a test,Y,1790.648471560885810,191307.353199975535972,,48.4983635,-81.3432159,Tim-Test-02
36,SUD-GIBLK01,37,Spanish,Sudbury,36.8295975,2022,2013,Bw1,2014,CC,BW1-EXTEN-PO1,PO1,Po,0.8000000,Interfor,Aerial,2021,Pj 30Po 30Sb 20Bw 20,0.7000000,MW1,2500,Mixed block of Hwd Exten adn PWST,N,9502.754500783627009,369436.811045395093970,Bob Robinson,46.7179070,-82.1705780,Sud-GibLk01
37,SUD-WIND01,30,Spanish,Sudbury,24.4524765,2022,2010,Pj2,2011,CC,PJ2-BASC1-PJ1,PJ1,Pj,0.8000000,Interfor,Aerial,2021,Pj 60Sb 20Bf 20,0.7000000,Pj2,1000,"Mixed cond, Pj2 in general",N,5385.119709250893720,245312.554382425150834,Bob Robinson,46.6343422,-81.4981918,Sud-Wind01
38,SUD-GIBLK02,30,Spanish,Sudbury,27.0422344,2022,2013,MW1,2014,CC,MW1-EXTEN-PO1,PO1,Po,0.8000000,Interfor,Aerial,2021,Po 50Bw 20Sb 20Pj 10,0.7000000,Po1,2500,,N,6503.618777169738678,271252.454874396906234,Bob Robinson,46.7367134,-82.0790176,Sud-GibLk02
39,SUD-700RD02,32,Spanish,Sudbury,31.9397621,2022,2011,Pj2,2012,CC,PJ2-BASC1-PJ1,PJ1,Pj,0.8000000,Interfor,Aerial,2021,Sb 40Bf 30Pj 20Bw 10,0.6000000,Sf1,1000,"Mix of SGR, similar sites",N,4662.663119032814393,320334.293767662660684,Bob Robinson,46.8288651,-81.4917374,Sud-700Rd02
40,SUD-700RD01,36,Spanish,Sudbury,36.0372429,2022,2011,Pj2,2012,CC,PJ2-BASC1-PJ1,PJ1,Pj,0.8000000,Interfor,Aerial,2021,Sb 50Pj 20Bf 20Po 10,0.6000000,Sp1,1000,Mix of Basic and Inten SS,N,5516.126489599855631,361437.289439137035515,Bob Robinson,46.8139114,-81.5707245,Sud-700Rd01
41,TIM-BARTLETT-015,73,Abitibi River,Timmins,85.4466553,2022,2008,SF1,,CC,SF1_INTN1,SP1,"SB,SW",0.8000000,ARFMI,Aerial,2021,SB 30SW 30PJ 20BF 17CW  3,0.8000000,SF1,,,N,18481.586656048435543,854466.587672319612466,Bill Moryto,48.1447334,-81.2745285,Bartlett 015
42,COC-BLOUNT-A-41,65,Abitibi River,Cochrane,68.9509811,2022,2011,MWD,,CC,MWD_INTN1,SP1,"SB,SW",0.8000000,ARFMI,Aerial,2021,SB 40SW 30BF 15PT  5BW  5LA  5,0.7500000,SP1,,,N,7957.319013147800433,689509.796708489768207,Bill Moryto,49.2179184,-80.8940048,Blount A-41
43,COC-BRADBURN-007,56,Abitibi River,Cochrane,55.2294388,2022,2006,MWD,,CC,MWD_INTN1,SP1,"SB,SW",0.8000000,ARFMI,Aerial,2021,SW 70BF 20PJ  5PT  5,0.7000000,SP1,,,N,4907.433374942645969,552294.395478512044065,Bill Moryto,49.1058044,-81.5006866,Bradburn 007
44,KIR-HOLLOWAY-100,79,Abitibi River,Kirkland Lake,96.0938187,2022,2012,PJ1,,CC,PJ1_INTN1,PJ1,PJ,0.9000000,ARFMI,Aerial,2021,SB 50PJ 35BF 10PR  5,0.8000000,SP1,,,N,19508.348014563263860,960938.209458040073514,Bill Moryto,48.4999542,-79.6296310,Holloway 100
45,COC-KENDREY-005,31,Abitibi River,Cochrane,30.6857700,2022,2008,MWD,,CC,MWD_INTN1,SP1,"SB,SW",0.8000000,ARFMI,Aerial,2021,SB 55PT 25BF 15BW  5,0.7000000,SP1,,,N,5692.393285217340235,306857.697542559239082,Bill Moryto,49.2896652,-81.6045380,Kendrey 005
46,COC-LAUGHTON-001,35,Abitibi River,Cochrane,35.0947952,2022,2007,SF1,,CC,SF1_INTN1,SP1,"SB,SW",0.8000000,ARFMI,Aerial,2021,SB 60BF 25LA 10BW  5,0.8000000,SP1,,,N,5047.846958385768630,350947.950194069591817,Bill Moryto,49.2791748,-80.7114487,Laughton 001
47,COC-TOMLINSON-004,38,Abitibi River,Cochrane,37.4503899,2022,2007,MW2,,CC,MWD_EXTEN,MWD,"PO,SB,SW,BW",0.7000000,ARFMI,Aerial,2021,SB 40BF 30SW 15BW 15,0.9000000,SF1,,,N,4424.010494170558559,374503.903307986620348,Bill Moryto,49.4070587,-80.0648346,Tomlinson 004
48,COC-TOMLINSON-007,54,Abitibi River,Cochrane,53.5470047,2022,2005,MW2,,CC,MWD_EXTEN,MWD,"PO,SB,SW,BW",0.7000000,ARFMI,Aerial,2021,BF 60SB 20BW 18PT  1LA  1,0.9000000,SF1,,,N,5527.399568500091846,535470.041108279139735,Bill Moryto,49.3905716,-80.0469513,Tomlinson 007
49,COC-TOMLINSON-011,73,Abitibi River,Cochrane,84.3105164,2022,2005,SB1,,CC,SB1_BASC1,SB1,SB,0.7000000,ARFMI,Aerial,2021,SB 50PJ 15BF 15LA 15PT  5,0.9000000,SF1,,,N,8158.142277511544307,843105.135644303169101,Bill Moryto,49.3651123,-79.9974289,Tomlinson 011
50,COC-TOMLINSON-002,116,Abitibi River,Cochrane,159.9015656,2022,2004,SP1,,CC,SP1_EXTEN,MWD,"SB,SW,BW",0.7000000,ARFMI,Aerial,2021,SB 70BF 20BW  5LA  5,0.9000000,SP1,,,N,12265.115952710268175,1599015.653726048534736,Bill Moryto,49.4184875,-80.0022888,Tomlinson 002
51,TIM-NORTHRUP-1131,35,Romeo Malette,Timmins,34.8955231,2022,2012,PJ2,,CC,PJ2-Basc2-PJ1,PJ1,,,,,2021,PJ  60SB  40,0.6000000,PJ2,,,N,7249.487935318467862,348955.225273155956529,"Andrew Corston, Samantha O'Donnell",47.9511223,-81.7780380,TIM-Northrup-1131
52,TIM-FRIPP-513,30,Romeo Malette,Timmins,19.5862026,2022,2013,SP1,,CC,SP1-Basc2-PJ2,PJ1,,,,,2021,PJ  70SB  30,0.7000000,PJ1,,,N,3376.404737968367954,195862.027349690761184,"Andrew Corston, Samantha O'Donnell",48.2625923,-81.3390121,TIM-Fripp-513
53,TIM-CHILDERHOSE-1268,30,Romeo Malette,Timmins,9.5256071,2022,2012,SP1,,CC,SP1-323-SP1-I1,SP1,,,,,2021,PJ  90SX  10,0.4000000,PJ1,,,N,1646.644854091531215,95256.071589386323467,"Andrew Corston, Samantha O'Donnell",48.1828156,-81.6691284,TIM-Childerhose-1268
54,TIM-ROBLIN-1154,39,Romeo Malette,Timmins,38.8158417,2022,2010,SF1,,CC,SF1-Basc2-SP1,SP1,,,,,2021,PO  30BW  30BF  20MR  10CE  10,0.4000000,BW1,,,N,5624.967531466005312,388158.429481355822645,"Andrew Corston, Samantha O'Donnell",47.9483032,-81.6144257,TIM-Roblin-1154
55,TIM-THORBURN-33,30,Romeo Malette,Timmins,24.8477192,2022,2013,LC1,,CC,LC1-Extn1-LC1,LC1,,,,,2021,PO  50BF  20SB  20BW  10,0.5000000,MW2,,,N,5665.662026610405519,248477.199402322381502,"Andrew Corston, Samantha O'Donnell",48.7899780,-81.6371536,TIM-Thorburn-33
56,TIM-FRIPP-500,30,Romeo Malette,Timmins,21.6300468,2022,2013,MW2,,CC,MW2-Extn1-PO1,PO1,,,,,2021,PO  50BW  20BF  20MR  10,0.7000000,PO1,,,N,3652.323345006726413,216300.470681001956109,"Andrew Corston, Samantha O'Donnell",48.2616348,-81.3359985,TIM-Fripp-500
57,TIM-REYNOLDS-757,75,Romeo Malette,Timmins,88.0971527,2022,2011,MW2,,CC,MW2-Extn1-PO1,PO1,,,,,2021,PO  70BW  20PJ  10,0.6000000,PO1,,,N,9888.002921689205323,880971.504758522030897,"Andrew Corston, Samantha O'Donnell",48.1989212,-81.6519470,TIM-Reynolds-757
58,TIM-NORTHRUP-1084,30,Romeo Malette,Timmins,12.6465302,2022,2012,SF1,,CC,SF1-Basc2-SP1,SP1,,,,,2021,PO  70BW  30,0.6000000,PO1,,,N,3328.103055731314726,126465.304614706314169,"Andrew Corston, Samantha O'Donnell",47.9388580,-81.8279343,TIM-Northrup-1084
59,TIM-DOYLE-902,61,Romeo Malette,Timmins,61.4926987,2022,2013,BW1,,CC,BW1-Extn1-BW1,BW1,,,,,2021,PO  80BW  20,0.7000000,PO1,,,N,5809.896602817242638,614927.003758714068681,"Andrew Corston, Samantha O'Donnell",48.1434784,-81.5643005,TIM-Doyle-902
60,TIM-KENOGAMING-935,30,Romeo Malette,Timmins,14.4189625,2022,2013,PO1,,CC,PO1-Extn1-PO1,PO1,,,,,2021,PO  90BW  10,0.8000000,PO1,,,N,2743.786769193153759,144189.622821473545628,"Andrew Corston, Samantha O'Donnell",48.0958939,-81.9071274,TIM-Kenogaming-935
61,TIM-BYERS-119,30,Romeo Malette,Timmins,8.4616528,2022,2010,SP1,,CC,SP1-Basc2-PJ2,PJ2,,,,,2021,SB  40BF  40PJ  10PO  10,0.5000000,SF1,,,N,2769.990541976841087,84616.524880155222490,"Andrew Corston, Samantha O'Donnell",48.6727600,-81.7274399,TIM-Byers-119
62,TIM-LOVELAND-169,30,Romeo Malette,Timmins,9.0597172,2022,2010,SB1,,CC,SB1-Extn1-SB1,SB1,,,,,2021,SB  50BF  30LA  20,0.7000000,SF1,,,N,1606.561513992193568,90597.168931328313192,"Andrew Corston, Samantha O'Donnell",48.6810112,-81.6330719,TIM-Loveland-169
