OBJECTID,ProjectID,NumCluster,FMU,District,Area_ha,MNRF_AS_YR,YRDEP,DepletionFU,YRORG,SILVSYS,SGR,TargetFU,TargetSpc,TargetSO,SFL_Name,SFL_AsMethod,SFL_AS_YR,SFL_SPCOMP,SFL_SO,SFL_FU,SFL_EffDens,Comment,IS_TEST,Contact,lat,lon,ORG_ProjectID,SHAPE_Length,SHAPE_Area
1,HEA-AREA236-58,94,Hearst,Hearst,125.8890152,2022,2000,,2000,CC,LC1-Ext-LC1,SB1,SB,0.6000000,HFMI,Aerial,2019,CW  50LA  30SB  20,0.6000000,LC1,,,N,Josh Breau,50.0038223,-84.6723328,AREA236-58,0.232274834261730,0.000158807346078
2,HEA-MULL-65,76,Hearst,Hearst,91.9051514,2022,2000,SB1,2000,CC,SB1-Ext-SB1,SB1,SB,0.6000000,HFMI,Aerial,2019,CW  50SB  30LA  20,0.7000000,LC1,,,N,Josh Breau,49.9722977,-84.7076569,MULL-65,0.089513967471410,0.000115864079637
3,HEA-MER-78,30,Hearst,Hearst,17.2585411,2022,2002,SB1,2002,CC,SB1-Ext-SB1,SB1,SB,0.6000000,HFMI,Aerial,2019,LA  30PT  30BF  20BW  10CW  10,0.7000000,MW1,,,N,Josh Breau,49.6009102,-85.0034637,MER-78,0.030227562610562,0.000021596910001
4,HEA-MER-91,88,Hearst,Hearst,115.6759567,2022,2002,SB1,2002,CC,SB1-Ext-SB1,SB1,SB,0.6000000,HFMI,Aerial,2019,LA  40SB  40CW  20,0.5000000,LC1,,,N,Josh Breau,49.6534882,-84.9428635,MER-91,0.077350285124341,0.000144906044173
5,HEA-BURR-92,65,Hearst,Hearst,69.0646286,2022,2003,SB1,2003,CC,SB1-Ext-SB1,SB1,SB,0.6000000,HFMI,Aerial,2019,LA  40SB  40CW  20,0.7000000,LC1,,,N,Josh Breau,50.0321770,-84.9720688,BURR-92,0.076776954710351,0.000087173543726
6,HEA-SHUEL-133,42,Hearst,Hearst,41.2851868,2022,2002,MW2C,2002,CC,MW2H-Ext-MW2H,PO1,"Pt, Sb, Sw",0.6000000,HFMI,Aerial,2019,PT  50BF  10PB  10SB  10BW  10LA  10,0.9000000,PO1,,,N,Josh Breau,49.9595947,-85.0345840,SHUEL-133,0.038434335260789,0.000052034685545
7,HEA-MULL-156,94,Hearst,Hearst,126.9892349,2022,2001,SF1,2001,CC,SB1-Ext-SB1,SB1,SB,0.6000000,HFMI,Aerial,2019,SB  40CW  30LA  20BW  10,0.6000000,SF1,,,N,Josh Breau,49.9664726,-84.7196121,MULL-156,0.069031513579777,0.000160075658982
8,HEA-FINT-188,62,Hearst,Hearst,63.8750763,2022,2001,LC1,2001,CC,LC1-Ext-LC1,SB1,SB,0.6000000,HFMI,Aerial,2019,SB  50CW  30LA  20,0.7000000,LC1,,,N,Josh Breau,49.9672012,-84.6789932,FINT-188,0.088381769096674,0.000080518590933
9,HEA-BURR-190,136,Hearst,Hearst,209.3356476,2022,2003,LC1,2003,CC,SB1-Ext-SB1,SB1,SB,0.6000000,HFMI,Aerial,2019,SB  50CW  30LA  20,0.8000000,LC1,,,N,Josh Breau,50.0313034,-84.9863739,BURR-190,0.129567363786921,0.000264219340192
10,HEA-BURR-195,77,Hearst,Hearst,93.3897171,2022,2001,SF1,2001,CC,SF1-Ext-SF1,SB1,SB,0.6000000,HFMI,Aerial,2019,SB  50LA  20CW  20BW  10,0.7000000,LC1,,,N,Josh Breau,49.9800682,-84.9169006,BURR-195,0.152429795157425,0.000117753956780
